availability,brand,condition,description,google_product_category,id,image_link,link,price,title
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_189_ErrorsofTheHumanBody_Thumbnail.jpg Errors Of The Human Body ",new,"In Eron Sheean��s creepy Cronenbergian thriller, a troubled geneticist is hired by a shadowy German laboratory involved in very strange research. While searching for a cure to the disorder that killed his infant son, Geoff��s drawn into some dangerous intrigue involving a colleague��s off-hours research, a theft, and a mystery he may be closer to than he knows. Sheean spent six years in residency at the actual lab the film is set in, incorporating their research into the script. But it��s Michael Eklund��s (DARK) gripping performance that makes the film a must-see.",839,189,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_189_ErrorsofTheHumanBody_Thumbnail.jpg",,"4.99 USD","Errors Of The Human Body"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_190_Haunt_Thumbnail.jpg Haunt ",new,"A family of five moves into a beautiful, sprawling dream home. One problem: it's cursed, having caused the deaths of the previous family to occupy it, leaving only one survivor (Jacki Weaver). The moody 18-year-old son and his mysterious new neighbor inadvertently awaken something in the house while also violently shaking the many skeletons in the many closets. Mac Carter's debut feature is a frightening and powerful character-driven haunted-house film that isn't afraid to take the action outside.",839,190,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_190_Haunt_Thumbnail.jpg","https://s3.amazonaws.com/amcxcoutput/A_C/shudder/Haunt_tlr_190_HD_2ch.mp4","4.99 USD",Haunt
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_191_Haunter_Thumbnail.jpg Haunter ",new,"In the latest fright flick from cult sci-fi horror director Vincenzo Natali (CUBE, SPLICE), a ghost must stop the spirit that killed her from killing her home��s new tenants. Lisa (Abigail Breslin) and her family died in 1986 under sinister circumstances, and remain trapped in their house, unable to move on. When a new family moves in, Lisa decides to put an end to the supernatural slaughter. But in order to locate the evil entity��s weak spot, she must make contact with the other spirits who also haunt the house. A clever twist on the haunted house formula. ",839,191,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_191_Haunter_Thumbnail.jpg","https://s3.amazonaws.com/amcxcoutput/A_C/shudder/Haunter_tlr_191_HD_2ch.mp4","4.99 USD",Haunter
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/194_JeffreyDahmerFiles_Masthead.jpg The Jeffrey Dahmer Files ",new,"What drives a seemingly mundane man to commit a series of acts so heinous that it captured the attention of a horrified nation? In the summer of 1991 Jeffrey Dahmer was arrested in Milwaukee and sentenced to 957 years in prison for killing 17 people and dismembering their bodies. THE JEFFREY DAHMER FILES explores this Midwestern city by meeting those surrounding Dahmer during and after his hidden spree. Recollections, archival footage and everyday scenes from Dahmer��s life work collectively to disassemble the facade of an ordinary man leading an ordinary existence.",839,194,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/194_JeffreyDahmerFiles_Masthead.jpg",,"4.99 USD","The Jeffrey Dahmer Files"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/198_The_Shrine_masthead.jpg The Shrine ",new,"Carmen, an investigative journalist, her boyfriend Marcus and their friend Sara set out for a very scary Polish village hoping to solve a string of disappearances. But when they arrive, they get the runaround from the hostile villagers. After the trio uncover a shrine with victims of ritual sacrifice, they realize they must escape before becoming the next victims. But if you think you see where this WICKER MAN-set up is going, think again. Director Jon Knautz (JACK BROOKS: MONSTER SLAYER) twists the fish-out-of-water fright flick plot into something uniquely unsettling.",839,198,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/198_The_Shrine_masthead.jpg",,"4.99 USD","The Shrine"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_203_JugFace_Thumbnail.jpg Jug Face ",new,"A pregnant teen discovers her neighbors plan to sacrifice her to an evil entity who lives in a pit on the edge of her backwoods community. Even though Ada knows that a sacrifice is required to keep the pit happy, Ada decides to escape. But the pit wants what it wants and when it doesn't get it, there's usually hell to pay. Director Chad Crawford Kinkle's debut is a chilling take on hillbilly horror, featuring indie horror legend Larry Fessenden and BLADE RUNNER's Sean Young in supporting roles and special effects by legendary gorehound Robert Kurtzman.",839,203,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_203_JugFace_Thumbnail.jpg",,"4.99 USD","Jug Face"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/207_Cold_Prey_masthead.jpg Cold Prey ",new,"In this Norwegian horror hit, five snowboarders are stalked by a psychotic slasher after seeking refuge in an abandoned ski lodge. Instead of sticking to slasher formulas, director Roar Uthaug plays with audience expectations, serving up an icy, unpredictable thriller that ushered in the Scandinavian horror wave two years before LET THE RIGHT ONE IN. Fangoria called COLD PREY, a ""conceptually rich slasher film""�� whose ""snowbound setting offers a feeling of inescapable dread beyond that of its killer.""�� The film's success led to a sequel and a prequel.",839,207,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/207_Cold_Prey_masthead.jpg",,"4.99 USD","Cold Prey"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_208_TheDivide_Thumbnail.jpg The Divide ",new,"Following a nuclear explosion, eight survivors are locked into a basement bunker, but fear and human needs lead them to turn on each other. With unspeakable horrors waiting on the outside and no hope for rescue, will anyone make it out alive? Best known for his brutal French horror hit FRONTIER(S), director Xavier Gens crafts a gripping entry in the post-apocalypse subgenre, featuring cult film stars like Michael Biehn (ALIENS), Rosanna Arquette (PULP FICTION) and Courtney B. Vance (TERMINATOR: GENISYS) delivering powerful portrayals of the spiraling survivors.",839,208,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_208_TheDivide_Thumbnail.jpg",,"4.99 USD","The Divide"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/211_A_Horrible_Way_To_Die_masthead.jpg A Horrible Way to Die ",new,"An escaped serial killer goes hunting for the ex-girlfriend who put him away in this controversial chiller from indie horror favorite, Adam Wingard (YOU��RE NEXT, V/H/S, THE GUEST). Notorious murderer Garrick Turrell (AJ Bowen, THE HOUSE OF THE DEVIL) will stop at nothing to find Sarah (Amy Seimetz, THE SACRAMENT), who��s putting her life back together in a new town. The New York Times called it a ���a restrained, ripely atmospheric thriller��, adding, ���viewed as commentary on our willingness to tune out evil for the sake of emotional connection, it��s devastating.��",839,211,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/211_A_Horrible_Way_To_Die_masthead.jpg",,"4.99 USD","A Horrible Way to Die"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_215_ABCsofDeath_Thumbnail.jpg ABCs of Death ",new,"26 directors contributed grisly death-themed shorts for this hit horror anthology, including Ti West (THE INNKEEPERS), Adam Wingard (YOU'RE NEXT), Nacho Vigalondo (TIMECRIMES), Ben Wheatley (KILL LIST), Noboru Iguchi (THE MACHINE GIRL) and Marcel Sarmiento (DEADGIRL). Inspired by children's educational books, the gruesome group of directors were assigned a letter of the alphabet and given free rein to tell a story about death. Provocative, shocking, funny and ultimately confrontational, THE ABC's OF DEATH is the definitive vision of modern horror diversity.",839,215,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_215_ABCsofDeath_Thumbnail.jpg",,"4.99 USD","ABCs of Death"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_216_BeyondTheBlackRainbow_Thumbnail.jpg Beyond The Black Rainbow ",new,"A woman must break free from a strange institution run by a creepy self-help guru in this trippy mash-up of sci-fi, body horror, and midnight movie whatsit. Part of a recent trend of films like BERBERIAN SOUND STUDIO and AMER which take their inspiration from stylish '60s and '70s horror, BTBR owes a debt to David Cronenberg's STEREO, George Lucas' THX 1138 and Stanley Kubrick's 2001. But the film's got it's own unique style, veering from puzzling to petrifying in the blink of an eye. Love it or hate it - you're sure to have a strong opinion by the end.",839,216,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_216_BeyondTheBlackRainbow_Thumbnail.jpg",,"4.99 USD","Beyond The Black Rainbow"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_217_BlackDeath_Thumbnail.jpg Black Death ",new,"As the plague ravages 14th-century England, a group sets out to find refuge led by a fearsome knight (GAME OF THRONES' Sean Bean) and a novice monk (Oscar-winner Eddie Redmayne). When the group hears of a village the black death cannot reach, they head in that direction. But when rumors start to surface of a necromancer who leads the village and brings the dead back to life, things take a terrifying turn. Their journey to the village and events that unfold there will take them into the heart of darkness and put the novice monk's faith to the ultimate test.",839,217,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_217_BlackDeath_Thumbnail.jpg",,"4.99 USD","Black Death"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_218_Chaw_thumbnail.jpg Chawz ",new,"A young cop must stop a giant man-eating boar from terrorizing his rural village in this frightfully fun Korean horror-comedy-western. Our unlikely hero is a new transplant to the village where the locals seem like they're auditioning for a Korean reboot of TWIN PEAKS. But despite his annoyance with them, he's not about to let a pushy porcine prey on the proletariat. So it's time to head into the woods and bring home the bacon. Variety compared CHAWZ to RAZORBACK and JAWS, but fans of THE HOST will also find much to love in this crazy creature-feature. (In Korean with English Subtitles)",839,218,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_218_Chaw_thumbnail.jpg",,"4.99 USD",Chawz
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_220_HoboWithAShotgun_Thumbnail.jpg Hobo with a Shotgun ",new,"A gun-toting homeless man decides to clean up the streets of his crime infested city in this gruesome modern grindhouse film in the vein of classic revenge films like DEATH WISH and VICTIM. Perennial bad guy Rutger Hauer (BLADE RUNNER, THE HITCHER) plays against type as the titular hobo, who becomes an unlikely hero after buying a shotgun at a pawn shop. Originally made after director Jason Eisener's mock-trailer won Quentin Tarantino and Robert Rodriguez's GRINDHOUSE trailer contest, the resulting film is sure to please fans of the directors and the genre.",839,220,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_220_HoboWithAShotgun_Thumbnail.jpg",,"4.99 USD","Hobo with a Shotgun"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_221_TheHost_thumbnail.jpg The Host ",new,"In this crossover Korean horror hit, a giant mutant sea monster terrorizes Seoul. But the ferocious creature known as ""The Host""�� is no lumbering beast like Godzilla. It selects what it wants carefully, and what it wants is the Hyun-seo, who it drags back to it's deep, dark hideout. Now it's up to Hyun-seo's father Gang-du, a food-stand worker who's anything but a traditional hero, to infiltrate the forbidden zone and rescue his daughter from the clutches of the horrifying creature. Cahiers du Cinema named THE HOST the fourth best film of the entire 2000s.",839,221,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_221_TheHost_thumbnail.jpg",,"4.99 USD","The Host"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_222_ISawTheDevil_Thumbnail.jpg I Saw The Devil ",new,"An elite special agent vows revenge when his pregnant wife becomes the latest victim of a disturbed and brutal serial killer. But in the process the lines between hunter and hunted and good and evil fall away, and he becomes a monster himself in his twisted pursuit of revenge. (In Korean with English Subtitles)",839,222,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_222_ISawTheDevil_Thumbnail.jpg",,"4.99 USD","I Saw The Devil"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_223_JohnDiesAtTheEnd_thumbnail.jpg John Dies at the End ",new,"Two college dropouts must save the world from the effects of a very freaky street drug which sends users traveling across time and to other dimensions. When the users return, some of them are no longer human. Suddenly a silent, otherworldly invasion is underway, and mankind needs a hero. What it gets instead is John and David who can barely hold down jobs. Can they stop the horror and save humanity? No. No, they can't. PHANTASM director Don Coscarelli's underrated gem blends horror, sci-fi, time-travel, and stoner comedies to create a uniquely unnerving film.",839,223,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_223_JohnDiesAtTheEnd_thumbnail.jpg",,"4.99 USD","John Dies at the End"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/224_Let_The_Right_One_In_masthead.jpg Let The Right One In ",new,"A bullied boy befriends, then falls for a vampire girl in this recent horror hit from Sweden. When 12-year-old Oskar meets Eli he feels his wish for a friend has come true. But why can��t Eli come out to play during the day? And why��s her dad running a down-low blood drive in the woods? Once Oskar figures it out, a subtle romance begins. But murders soon begin to attract attention, and Eli knows she has to hit the road. LTROI mixes a touching story of two outsiders who find each other with some truly vicious vampire thrills to create a modern horror classic.",839,224,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/224_Let_The_Right_One_In_masthead.jpg",,"4.99 USD","Let The Right One In"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_225_Monsters_Thumbnail.jpg Monsters ",new,"A man and a woman must make their way through a country overrun by alien monsters in this clever twist on monster movie conventions which put director Gareth Edwards (GODZILLA, STAR WARS ANTHOLOGY: ROGUE ONE) on the map. After a NASA probe carrying samples of alien life crashed over Central America, fantastic and scary new life forms began to appear there. As military forces try to contain the creatures, a US photojournalist and a shaken tourist make their way through Mexico, pondering the meaning of what's happened and trying their best to stay alive.",839,225,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_225_Monsters_Thumbnail.jpg",,"4.99 USD",Monsters
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_226_MurderParty_Thumbnail.jpg Murder Party ",new,"A guest at a Halloween party learns the other partygoers are conspiring to kill him in this deadly, deadpan horror comedy from BLUE RUIN and GREEN ROOM director, Jeremy Saulnier. A random invitation to a party in the hipster neighborhood of Williamsburg, Brooklyn leads a man into the hands of a rogue collective intent on murdering him for the sake of their art, sparking a bloodbath of mayhem and hilarity. Will they do away with the puzzled partygoer? Or will arguments over which thai restaurant to order from give him the opportunity to turn the table on his hosts?",839,226,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_226_MurderParty_Thumbnail.jpg",,"4.99 USD","Murder Party"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_227_The_Perfect_Host_Thumbnail.jpg The Perfect Host ",new,"A criminal on the run cons his way into the wrong dinner party where the host is anything but ordinary. A series of mishaps has led John to the doorstep of Warwick Wilson (David Hyde Pierce), who��s busy preparing a sumptuous dinner party. But as John tries desperately to keep his true identity from being discovered, he learns Warwick isn��t quite who he claims to be either. And when he wakes up after being drugged, he realizes he��s in terrible danger. Nick Tomnay��s witty Sundance Film Festival favorite is must-see mix of black comedy and psychological thriller.",839,227,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_227_The_Perfect_Host_Thumbnail.jpg",,"4.99 USD","The Perfect Host"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_228_Pulse_Thumbnail.jpg Pulse (Kairo) ",new,"A mysterious webcam site claims to offer visitors the chance to connect with the dead in Japanese horror god Kiyoshi Kurosawa's heart-stopping film. A group of friends are rocked by another friend's suicide, and his ghostly reappearance in computer video images. Is he trying to reach out from the afterlife, or is something more sinister afoot? When they find a mysterious disk in the dead man's apartment it launches a program that seems to present odd, ethereal broadcasts of people in their apartments. But there's something strange about these transmissions... (In Japanese with English Subtitles)",839,228,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_228_Pulse_Thumbnail.jpg",,"4.99 USD","Pulse (Kairo)"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_230_Severance_Thumbnail.jpg Severance ",new,"A weapons company's employees are viciously stalked during a team-building weekend in this grisly exercise in horror from director Christopher Smith (BLACK DEATH). A coach lurches out of busy Budapest and heads towards the mountainous border. On board are seven employees of weapons manufacturer Palisade Defence, who are being treated to a team-building weekend at the company's newly built luxury spa. But things quickly go awry as the colleagues find themselves sabotaged by a deadly enemy. Forget office politics, only the smartest will survive this bloody outing.",839,230,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_230_Severance_Thumbnail.jpg",,"4.99 USD",Severance
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/231_TimeCrimes_masthead.jpg Timecrimes ",new,"A man finds himself stuck in a terrifying time loop after witnessing a murder in director Nacho Vigalondo's (V/H/S VIRAL) critically-acclaimed trip to the Twilight Zone. Hiking up to investigate a nude woman in the woods, Hector is attacked by a sinister figure. Terrified, he takes refuge in a nearby laboratory, where a lone attendant puts him in a peculiar contraption. He emerges what seems to be moments later, only to find that he has traveled back hours in time, setting in motion a brain-twisting, horrifying chain of events when he runs into himself. (In Spanish with English Subtitles)",839,231,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/231_TimeCrimes_masthead.jpg",,"4.99 USD",Timecrimes
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/232_Troll_Hunter_masthead.jpg Troll Hunter ",new,"A group of young investigative journalists meet a man who claims to be a troll hunter in this Norwegian twist on BLAIR WITCH-style found footage horror. The government says it's just bears making trouble in the mountains and forests of Norway. But when the students meet the hunter, he shows them the real cause. They soon find themselves documenting every move of this grizzled, unlikely hero, risking their lives to uncover the secrets of creatures only thought to exist in fairy tales. Worth watching for the stunning - and very scary - special effects alone. (In Norwegian with English Subtitles)",839,232,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/232_Troll_Hunter_masthead.jpg",,"4.99 USD","Troll Hunter"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/233_Tucker_and_Dale_vs_Evil_masthead.jpg Tucker & Dale vs. Evil ",new,"Two best friends are mistaken for murderous backwoods hillbillies by a group of teens who've been weaned on horror films where mountain men kill, maim, eat, and rape people who venture into their territory. But Tucker and Dale are really nice guys, so when one of the students gets separated from her friends, the boys try to lend a hand. But as the misunderstanding grows, so does the body count. This hilariously gory, good-spirited horror comedy does for killer rednecks what SHAUN OF THE DEAD did for zombies. You'll be laughing and screaming at the same time.",839,233,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/233_Tucker_and_Dale_vs_Evil_masthead.jpg",,"4.99 USD","Tucker & Dale vs. Evil"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/234_VHS_masthead.jpg V/H/S ",new,"In this found-footage anthology, a gang of thieves find a stash of scary home videos, each different in genre and tone. Highlights include David Bruckner's (THE SIGNAL) ""Amateur Night""�� about three bros who bring the wrong girl home for sex; Ti West's (THE INNKEEPERS) ""Second Honymoon""�� about a stalker menacing a couple on a road trip; and Joe Swanberg's utterly chilling ""The Sick Thing That Happened to Emily When She Was Younger""�� which may freak you out for days. An essential document of the indie horror new wave made by and starring many of its power players.",839,234,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/234_VHS_masthead.jpg",,"4.99 USD",V/H/S
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_235_Apartment143_thumbnail.jpg Apartment 143 (Emergo) ",new,"Paranormal investigators document an intense haunting in an apartment building in this inventive found footage flick. After the matriarch of the White family dies in a tragic accident, father Alan moves his kids to an apartment where things begin to go bump in the night - and day. On top of the flying objects, Alan's daughter Caitlin is becoming increasingly out of control. So it's time for a team of parapsychologists to figure out what's up. One thing's certain: this twisted thriller is no slow burner - it grabs you from the start and refuses to let go.",839,235,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_235_Apartment143_thumbnail.jpg",,"4.99 USD","Apartment 143 (Emergo)"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/236_DonkeyPunch_masthead.jpg Donkey Punch ",new,"When a sex act causes a woman's death, a drug-fueled boat ride turns deadly in this gripping and gruesome British horror film. While on a holiday in Spain, Lisa, Kim and Tammi meet four young men, Bluey, Josh, Sean and Marcus, who invite them out to party and play on their yacht. But after Josh decides to try out the titular sex act, Lisa dies. Soon the men realize they've got to kill the other women, and that's when things get really, really effed-up. Director Olly Blackburn pulls no punches in his savage depiction of the bro's bad behavior.",839,236,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/236_DonkeyPunch_masthead.jpg",,"4.99 USD","Donkey Punch"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/239_Shrooms_masthead.jpg Shrooms ",new,"When a group of druggies take a rare magic mushroom, people start disappearing. Are they just tripping their you-know-whats off? Or is there really a hooded killer picking each of them off one by one? Whatever the answer, they soon realize the skull on the shrooms was a warning sign of a bad, bad trip, and if they don't make it out of the forest, they may not live to toke, drop, or snort again. This clever Irish slasher will have you steering clear of substances long after the credits roll.",839,239,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/239_Shrooms_masthead.jpg",,"4.99 USD",Shrooms
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/240_Shuttle_masthead.jpg Shuttle ",new,"A trip home turns deadly when two women are kidnapped by a crazy shuttle driver. When Jules and Mel return from a girls' weekend vacation, they find themselves stranded at the airport, late on a rainy night. Eager to get home safe and sound, they board an airport shuttle with a helpful, friendly driver for the short trip... that turns out to be anything but. From writer-director Edward Anderson, making his directorial debut, comes a terrifying thriller about a night that starts like any other, and a ride home that descends into darkness and sadistic terror.",839,240,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/240_Shuttle_masthead.jpg",,"4.99 USD",Shuttle
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_242_Splinter_Thumbnail.jpg Splinter ",new,"A group of people are trapped in a gas station by a spikey parasite monster in this grisly creature feature. A young couple retreats to the wilderness for a romantic camping weekend, but their idyll is shattered when they are carjacked by an escaped convict and his girlfriend on the run from the police. As the foursome travel the back roads together, each plotting their next move, they find themselves in deeper trouble than any of them could have imagined when a blood-crazed creature that absorbs the corpses of its victims gets the two couples in its sights.",839,242,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_242_Splinter_Thumbnail.jpg",,"4.99 USD",Splinter
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/243_Storage_24_masthead.jpg Storage 24 ",new,"London is in chaos. A military cargo plane has crashed leaving its highly classified contents strewn across the city. Completely unaware London is in lockdown, Charlie (Noel Clarke) and Shelley (Antonia Campbell-Hughes), accompanied by best friends Mark (Colin O'Donoghue) and Nikki (Laura Haddock), are at Storage 24 dividing up their possessions after a recent break-up. Suddenly, the power goes off. Trapped in a dark maze of endless corridors, a mystery predator is hunting them one by one. In a place designed to keep things in, how do you get out?",839,243,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/243_Storage_24_masthead.jpg",,"4.99 USD","Storage 24"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/244_Anamorph_masthead.jpg Anamorph ",new,"A detective investigates a psychopath who creates eerie artwork out of his victims. Willem Dafoe (ANTICHRIST) is Stan Aubry, an alcoholic detective drawn into the web of a super-smart serial killer who arranges his kills to reveal secret images when viewed at certain angles - an artistic technique called anamorphosis. But when his former partner is murdered, Stan himself becomes a suspect. Henry S. Miller's (OCCUPANT) twisted killer thriller features a stellar supporting cast including Debbie Harry, Mick Foley, Scott Speedman, Clea DuVall and Peter Stormare.",839,244,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/244_Anamorph_masthead.jpg",,"4.99 USD",Anamorph
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/247_Choose_masthead.jpg Choose ",new,"A young journalist hunts a killer who forces his victims to make horrific choices in this little-known serial killer thriller. Fiona Wagner is still mourning her mother's suicide when a twisted psycho forces a local girl to kill her father. Drawn into the case over the objections of her Sheriff father (Kevin Pollak, THE USUAL SUSPECTS), Fiona tries desperately to unravel the mystery, which she feels may be connected to her mother's death. But as each step draws her closer to danger, Fiona may have to make some split second decisions if she wants to stay alive.",839,247,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/247_Choose_masthead.jpg",,"4.99 USD",Choose
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/250_DarkMirror_masthead.jpg Dark Mirror ",new,"A photographer moves her family into a strange old house, where she discovers an alternate reality reflected in the glass... A dark reality that is closing in on her.""Excellent...twists and turns all over the place.""Cyberhal, Quiet Earth""Defying logic while continuously flirting with it, Proenza's debut feature about a haunted house (or a woman's madness, or both) sustains suspense throughout, thanks in part to the tour-de-force perf of Lisa Vidal as the eye of the spectral storm.""Ronnie Scheib, Variety",839,250,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/250_DarkMirror_masthead.jpg",,"4.99 USD","Dark Mirror"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/252_Hellgate_masthead.jpg Hellgate ",new,"A western businessman (Cary Elwes), his Thai wife and son experience a horrible accident while visiting Bangkok. In the aftermath, they find there is a shadow world between life and death where endless darkness lies.",839,252,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/252_Hellgate_masthead.jpg",,"4.99 USD",Hellgate
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_264_Absentia_Thumbnail.jpg Absentia ",new,"A woman's missing husband returns after many years, but something is wrong with him. Days before Tricia's finally ready to file a document declaring her husband Daniel legally dead, she encounters a mysterious tunnel and a terrified man inside. Soon after the encounter, Daniel shows up, bloodied and scared to death of the tunnel. What happened to Daniel? And where does the tunnel lead? Variety called Mike Flanagan's (OCULUS) crowdfunded indie horror film, ""very creepy""�� and ""non-formulaic""��, and the film won over 20 awards at US horror film festivals.",839,264,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_264_Absentia_Thumbnail.jpg",,"4.99 USD",Absentia
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_266_CityofTheLivingDead_Thumbnail.jpg City of the Living Dead ",new,"A reporter and a psychic try to close the gates of hell before zombies invade Earth in the first of Italian gore maestro Lucio Fulci's ""Gates of Hell""�� trilogy. After a priest guarding the gates dies, Mary and Peter learn that his death created the opportunity for the dead to rise in only a few days. Soon enough, gruesome things start happening - including the film's most famous sequence where a female victim literally pukes her guts out. If George Romero's living dead films are too tame for you, Fulci's films should satisfy all your creepy cravings.",839,266,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_266_CityofTheLivingDead_Thumbnail.jpg",,"4.99 USD","City of the Living Dead"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_267_TheCrazies_Thumbnail.jpg The Crazies ",new,"Ordinary citizens turn into homicidal maniacs after a chemical weapon is released in George Romero's 1973 follow-up to NIGHT OF THE LIVING DEAD. After a mercifully brief foray into romantic comedy, Romero returned to the subject that made him famous - multiple maniacs attacking unsuspecting townspeople - and the government's misguided response to the chaos. Like Romero's living dead films, THE CRAZIES offers a commentary on the military turmoil of the '70s, environmental contamination and bio-warfare - making it sadly still relevant - and scary - today.",839,267,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_267_TheCrazies_Thumbnail.jpg",,"4.99 USD","The Crazies"
